"ID","Text ID","Object","Animation","Type","Trigger","Property"
"","","Captain","","hide","",""
"","","Thief","","hide","",""
"","m1/14","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","Mariana","","show","",""
"","","Alibaba","","show","",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m1/15","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","m1/16","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m1/17","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m1/18","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","Mariana","","","","select:choice,choice_a:Speak the word. 'Open, Sesame.',choice_b:Lie. Tell him you couldn't catch it."
"","m1/19","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m1/lie","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","","Stone Slide","","sound","yes","sound distance:1000,shake value:2"
"","","Forest_outside_cave_half_open","","bgchange","yes","scene:1,POS:1,fade"
"","","camera","wait","cutscene","yes","timer:0.6,wait"
"","","Forest_outside_cave_open","","bgchange","yes","scene:1,POS:1,fade"
"","","camera","wait","cutscene","yes","timer:0.6,wait"
"","","camera","blackout","cutscene","yes","timer:2,no auto fade out,wait"
"","m1/end","Alibaba","Default","","yes","interact,start mission:2,voice:(Parchment_write;3000;0),portrait:alibaba_neutral,side:right,speaker:Ali Baba"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Mariana","","hide","no",""
"","","Alibaba","","hide","no",""
"","","Captain","","hide","no",""
"","","Thief","","hide","no",""
"","","Donkey","","delete","no",""
"","","Cave_walk_away","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m1/walk1","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Simple_life","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m1/walk2","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m1/walk3","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Ending_card_simple","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","","Mariana","","","no","interact"
"","m_replay_forest","Mariana","","","no","interact,start mission:1,voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator"
